FileFormat:0002.2 file with temperature of atmosphere
200
local	GMT or Local
0	GMT-Local=[hours]
0	Height[m]
0	0	0	Longitude                [grd]               [min]               [sec]
0	0	0	Latitude                [grd]               [min]               [sec]
N	NS
59,40	Freq[GHz]
0,00	dTemostat[K]
0,150	MessErr[K]
0,248	//[grad/step]
version 14.0.20110218
MTP5H033F5940K-33.00D180214+A1.1
Commentary:
enter comment
End Of Commentary

SYSTEM\alaska.dat
data time	0	50	100	150	200	250	300	350	400	450	500	550	600	OutsideTemperature	Quality
27/01/2020 00:00:00	1,09	1,44	1,45	1,23	0,90	0,42	-0,03	-0,29	-0,39	-0,51	-0,59	-0,62	-0,65	1,08	0
27/01/2020 00:05:00	1,09	1,52	1,64	1,41	1,00	0,44	-0,07	-0,40	-0,57	-0,73	-0,84	-0,88	-0,91	1,09	0
27/01/2020 00:10:00	1,20	1,64	1,72	1,54	1,22	0,62	0,04	-0,34	-0,52	-0,70	-0,84	-0,93	-1,02	1,19	0
27/01/2020 00:15:00	1,28	1,72	1,84	1,67	1,27	0,62	0,03	-0,38	-0,60	-0,80	-0,94	-1,01	-1,09	1,27	0
27/01/2020 00:20:00	1,32	1,75	1,88	1,72	1,33	0,70	0,14	-0,24	-0,45	-0,64	-0,78	-0,84	-0,91	1,36	0
27/01/2020 00:25:00	1,34	1,85	1,97	1,73	1,30	0,65	0,03	-0,40	-0,63	-0,84	-1,00	-1,09	-1,18	1,38	0
27/01/2020 00:30:00	1,45	1,94	2,07	1,84	1,38	0,75	0,13	-0,27	-0,48	-0,66	-0,78	-0,83	-0,87	1,39	0
27/01/2020 00:35:00	1,39	1,99	2,07	1,80	1,29	0,62	0,04	-0,33	-0,52	-0,70	-0,81	-0,85	-0,88	1,44	0
27/01/2020 00:40:00	1,47	2,04	2,09	1,69	1,30	0,77	0,20	-0,10	-0,19	-0,29	-0,35	-0,34	-0,33	1,48	0
27/01/2020 00:45:00	1,53	1,98	2,16	2,05	1,71	1,07	0,42	-0,04	-0,30	-0,55	-0,75	-0,89	-1,04	1,49	0
27/01/2020 00:50:00	1,55	2,15	2,26	1,93	1,50	0,88	0,30	-0,05	-0,21	-0,38	-0,48	-0,51	-0,54	1,57	0
27/01/2020 00:55:00	1,62	2,19	2,31	2,07	1,56	0,93	0,38	0,02	-0,17	-0,35	-0,46	-0,48	-0,50	1,63	0
27/01/2020 01:00:00	1,61	2,24	2,38	2,15	1,66	0,96	0,32	-0,11	-0,34	-0,56	-0,71	-0,79	-0,87	1,64	0
27/01/2020 01:05:00	1,81	2,41	2,50	2,16	1,71	1,03	0,37	-0,05	-0,24	-0,43	-0,55	-0,60	-0,66	1,65	0
27/01/2020 01:10:00	1,81	2,38	2,58	2,43	1,98	1,25	0,52	-0,01	-0,31	-0,57	-0,77	-0,90	-1,03	1,75	0
27/01/2020 01:15:00	1,81	2,41	2,66	2,55	2,13	1,38	0,63	0,08	-0,23	-0,51	-0,73	-0,88	-1,02	1,78	0
27/01/2020 01:20:00	1,84	2,56	2,73	2,46	1,94	1,17	0,49	0,01	-0,26	-0,50	-0,67	-0,77	-0,86	1,86	0
27/01/2020 01:25:00	1,98	2,57	2,81	2,67	2,26	1,53	0,80	0,27	-0,05	-0,33	-0,56	-0,72	-0,88	1,97	0
27/01/2020 01:30:00	1,93	2,74	2,87	2,58	2,04	1,36	0,64	0,19	-0,02	-0,22	-0,36	-0,42	-0,48	1,95	0
27/01/2020 01:35:00	2,02	2,85	3,05	2,81	2,19	1,42	0,68	0,18	-0,10	-0,34	-0,50	-0,57	-0,64	2,03	0
27/01/2020 01:40:00	2,10	2,89	3,19	3,06	2,55	1,67	0,85	0,22	-0,16	-0,49	-0,74	-0,91	-1,09	2,06	0
27/01/2020 01:45:00	2,03	2,89	3,15	2,90	2,42	1,60	0,74	0,14	-0,18	-0,47	-0,69	-0,84	-0,98	2,03	0
27/01/2020 01:50:00	2,08	3,00	3,22	2,96	2,35	1,46	0,68	0,12	-0,22	-0,50	-0,71	-0,82	-0,93	2,10	0
27/01/2020 01:55:00	2,21	3,12	3,32	2,97	2,40	1,47	0,66	0,09	-0,23	-0,50	-0,69	-0,79	-0,89	2,22	0
27/01/2020 02:00:00	2,35	3,23	3,43	3,17	2,55	1,71	0,90	0,33	0,01	-0,28	-0,49	-0,62	-0,75	2,34	0
27/01/2020 02:05:00	2,34	3,31	3,50	3,18	2,64	1,79	0,99	0,45	0,17	-0,09	-0,28	-0,39	-0,49	2,30	0
27/01/2020 02:10:00	2,35	3,39	3,62	3,26	2,62	1,72	0,85	0,26	-0,06	-0,34	-0,53	-0,63	-0,73	2,33	0
27/01/2020 02:15:00	2,47	3,47	3,69	3,38	2,76	1,88	1,04	0,45	0,11	-0,19	-0,41	-0,54	-0,68	2,45	0
27/01/2020 02:20:00	2,42	3,53	3,73	3,34	2,66	1,75	0,90	0,33	0,03	-0,23	-0,41	-0,49	-0,58	2,40	0
27/01/2020 02:25:00	2,35	3,44	3,74	3,58	2,97	2,06	1,11	0,41	0,01	-0,34	-0,61	-0,82	-1,02	2,35	0
27/01/2020 02:30:00	2,44	3,48	3,78	3,50	2,85	1,94	1,01	0,36	-0,01	-0,32	-0,54	-0,67	-0,79	2,40	0
27/01/2020 02:35:00	2,39	3,44	3,69	3,46	2,84	1,92	1,01	0,36	-0,01	-0,33	-0,57	-0,74	-0,90	2,40	0
27/01/2020 02:40:00	2,51	3,49	3,66	3,27	2,73	1,94	1,27	0,85	0,64	0,43	0,30	0,27	0,23	2,44	0
27/01/2020 02:45:00	2,42	3,43	3,63	3,26	2,64	1,82	1,03	0,51	0,24	0,00	-0,16	-0,23	-0,30	2,40	0
27/01/2020 02:50:00	2,49	3,43	3,69	3,38	2,81	2,00	1,27	0,77	0,49	0,24	0,07	0,00	-0,07	2,50	0
27/01/2020 02:55:00	2,50	3,43	3,56	3,18	2,56	1,85	1,17	0,75	0,54	0,34	0,22	0,18	0,15	2,44	0
27/01/2020 03:00:00	2,45	3,45	3,60	3,27	2,63	1,84	1,13	0,66	0,41	0,18	0,03	-0,04	-0,10	2,43	0
27/01/2020 03:05:00	2,36	3,39	3,51	3,09	2,56	1,80	1,18	0,80	0,61	0,42	0,29	0,24	0,18	2,40	0
27/01/2020 03:10:00	2,38	3,24	3,45	3,28	2,68	1,92	1,19	0,68	0,39	0,12	-0,08	-0,19	-0,31	2,51	0
27/01/2020 03:15:00	2,33	3,29	3,51	3,24	2,71	2,00	1,28	0,81	0,57	0,34	0,18	0,10	0,02	2,36	0
27/01/2020 03:20:00	2,39	3,28	3,51	3,30	2,74	1,95	1,17	0,63	0,33	0,05	-0,15	-0,26	-0,38	2,41	0
27/01/2020 03:25:00	2,27	3,28	3,52	3,27	2,66	1,86	1,09	0,57	0,28	0,02	-0,16	-0,25	-0,35	2,35	0
27/01/2020 03:30:00	2,42	3,35	3,55	3,29	2,78	1,98	1,26	0,77	0,50	0,25	0,06	-0,04	-0,15	2,37	0
27/01/2020 03:35:00	2,39	3,37	3,70	3,51	3,06	2,11	1,26	0,64	0,27	-0,06	-0,31	-0,48	-0,65	2,36	0
27/01/2020 03:40:00	2,43	3,42	3,65	3,31	2,77	2,03	1,35	0,92	0,70	0,48	0,36	0,32	0,29	2,41	0
27/01/2020 03:45:00	2,49	3,41	3,66	3,41	2,82	1,99	1,22	0,68	0,37	0,09	-0,11	-0,21	-0,31	2,46	0
27/01/2020 03:50:00	2,48	3,37	3,58	3,31	2,70	1,90	1,23	0,77	0,50	0,25	0,09	0,03	-0,03	2,62	0
27/01/2020 03:55:00	2,56	3,48	3,71	3,44	2,97	2,12	1,37	0,85	0,56	0,29	0,10	-0,02	-0,13	2,60	0
27/01/2020 04:00:00	2,56	3,50	3,77	3,54	3,01	2,19	1,38	0,80	0,47	0,18	-0,04	-0,18	-0,32	2,51	0
27/01/2020 04:05:00	2,52	3,60	3,91	3,67	3,05	2,12	1,28	0,67	0,30	-0,02	-0,24	-0,38	-0,51	2,59	0
27/01/2020 04:10:00	2,59	3,52	3,84	3,64	3,09	2,22	1,36	0,73	0,37	0,06	-0,17	-0,32	-0,46	2,52	0
27/01/2020 04:15:00	2,58	3,49	3,77	3,45	2,94	2,28	1,65	1,25	1,03	0,82	0,69	0,66	0,63	2,60	0
27/01/2020 04:20:00	2,62	3,47	3,75	3,54	3,00	2,17	1,37	0,81	0,49	0,21	0,01	-0,09	-0,19	2,68	0
27/01/2020 04:25:00	2,60	3,61	3,94	3,76	3,18	2,27	1,35	0,70	0,32	0,00	-0,24	-0,38	-0,52	2,60	0
27/01/2020 04:30:00	2,54	3,57	3,88	3,54	2,95	2,11	1,24	0,64	0,32	0,03	-0,17	-0,27	-0,37	2,80	0
27/01/2020 04:35:00	2,60	3,69	3,98	3,59	3,03	2,19	1,35	0,79	0,50	0,24	0,07	-0,01	-0,09	2,73	0
27/01/2020 04:40:00	2,66	3,56	3,82	3,64	3,09	2,26	1,40	0,79	0,46	0,16	-0,06	-0,20	-0,34	2,56	0
27/01/2020 04:45:00	2,62	3,44	3,68	3,46	2,98	2,15	1,35	0,77	0,45	0,15	-0,07	-0,22	-0,37	2,60	0
27/01/2020 04:50:00	2,54	3,43	3,61	3,39	2,84	2,07	1,29	0,76	0,47	0,19	-0,02	-0,17	-0,31	2,50	0
27/01/2020 04:55:00	2,51	3,37	3,60	3,33	2,77	1,97	1,19	0,65	0,35	0,08	-0,11	-0,21	-0,31	2,51	0
