FileFormat:0002.2 file with temperature of atmosphere
200
local	GMT or Local
0	GMT-Local=[hours]
0	Height[m]
0	0	0	Longitude                [grd]               [min]               [sec]
0	0	0	Latitude                [grd]               [min]               [sec]
N	NS
59,40	Freq[GHz]
0,00	dTemostat[K]
0,150	MessErr[K]
0,248	//[grad/step]
version 14.0.20110218
MTP5H033F5940K-33.00D180214+A1.1
Commentary:
enter comment
End Of Commentary

SYSTEM\summer.dat
data time	0	50	100	150	200	250	300	350	400	450	500	550	600	OutsideTemperature	Quality
27/05/2020 00:00:00	12,76	14,25	14,36	14,14	13,82	13,42	12,95	12,50	12,09	11,69	11,27	10,84	10,41	12,83	0
27/05/2020 00:05:00	12,84	14,07	14,18	14,01	13,75	13,40	13,00	12,61	12,24	11,87	11,47	11,07	10,67	12,74	0
27/05/2020 00:10:00	12,58	14,06	14,36	14,25	13,98	13,60	13,16	12,73	12,32	11,90	11,43	10,96	10,49	12,66	0
27/05/2020 00:15:00	12,68	14,22	14,56	14,46	14,23	13,87	13,44	13,01	12,61	12,19	11,73	11,26	10,79	12,59	0
27/05/2020 00:20:00	12,54	14,35	14,79	14,66	14,34	13,90	13,43	12,97	12,51	12,05	11,54	11,02	10,51	12,60	0
27/05/2020 00:25:00	12,63	14,31	14,68	14,56	14,28	13,93	13,49	13,06	12,64	12,21	11,75	11,29	10,82	12,72	0
27/05/2020 00:30:00	12,56	14,46	14,81	14,68	14,37	13,92	13,48	13,03	12,59	12,14	11,67	11,19	10,71	12,57	0
27/05/2020 00:35:00	12,62	14,32	14,72	14,61	14,35	13,97	13,52	13,08	12,66	12,22	11,75	11,27	10,78	12,42	0
27/05/2020 00:40:00	12,34	13,99	14,45	14,33	14,11	13,78	13,28	12,82	12,39	11,95	11,46	10,97	10,47	12,27	0
27/05/2020 00:45:00	12,37	14,04	14,46	14,40	14,18	13,86	13,39	12,95	12,53	12,10	11,62	11,14	10,65	12,31	0
27/05/2020 00:50:00	12,27	14,15	14,70	14,64	14,35	13,96	13,44	12,94	12,47	11,98	11,44	10,89	10,33	12,32	0
27/05/2020 00:55:00	12,32	14,05	14,63	14,58	14,35	13,96	13,51	13,05	12,61	12,14	11,61	11,07	10,53	11,99	0
27/05/2020 01:00:00	12,03	13,79	14,41	14,37	14,15	13,79	13,34	12,89	12,45	11,98	11,46	10,93	10,40	12,13	0
27/05/2020 01:05:00	12,03	13,73	14,38	14,37	14,18	13,87	13,40	12,94	12,51	12,05	11,52	10,98	10,44	12,04	0
27/05/2020 01:10:00	11,97	13,76	14,35	14,29	14,05	13,67	13,25	12,81	12,36	11,90	11,39	10,87	10,35	11,97	0
27/05/2020 01:15:00	11,91	13,67	14,38	14,40	14,14	13,74	13,26	12,78	12,31	11,80	11,21	10,62	10,02	12,00	0
27/05/2020 01:20:00	11,89	13,60	14,32	14,32	14,17	13,86	13,39	12,94	12,50	12,03	11,49	10,94	10,39	11,94	0
