FileFormat:0002.2 file with temperature of atmosphere
200
local	GMT or Local
0	GMT-Local=[hours]
0	Height[m]
0	0	0	Longitude                [grd]               [min]               [sec]
0	0	0	Latitude                [grd]               [min]               [sec]
N	NS
59,40	Freq[GHz]
0,00	dTemostat[K]
0,150	MessErr[K]
0,248	//[grad/step]
version 14.0.20110218
MTP5H033F5940K-33.00D180214+A1.1
Commentary:
enter comment
End Of Commentary

SYSTEM\summer.dat
data time	0	50	100	150	200	250	300	350	400	450	500	550	600	OutsideTemperature	Quality
09/11/2020 00:00:00	2,63	2,99	2,85	2,59	2,20	1,78	1,44	1,09	0,72	0,41	0,16	-0,08	-0,32	2,53	0
09/11/2020 00:05:00	2,46	2,80	2,63	2,31	1,94	1,53	1,16	0,78	0,42	0,12	-0,12	-0,34	-0,56	2,51	0
09/11/2020 00:10:00	2,57	2,83	2,56	2,23	1,88	1,52	1,18	0,85	0,52	0,25	0,05	-0,12	-0,30	2,48	0
09/11/2020 00:15:00	2,41	2,78	2,59	2,30	1,92	1,53	1,10	0,70	0,35	0,05	-0,19	-0,41	-0,63	2,41	0
09/11/2020 00:20:00	2,39	2,66	2,43	2,15	1,75	1,40	1,01	0,64	0,30	0,02	-0,20	-0,41	-0,61	2,38	0
09/11/2020 00:25:00	2,31	2,70	2,46	2,16	1,78	1,42	1,01	0,62	0,28	0,00	-0,21	-0,41	-0,60	2,33	0
09/11/2020 00:30:00	2,36	2,68	2,47	2,14	1,79	1,35	1,04	0,70	0,35	0,05	-0,17	-0,38	-0,59	2,29	0
09/11/2020 00:35:00	2,21	2,57	2,39	2,05	1,64	1,31	0,92	0,54	0,19	-0,10	-0,32	-0,52	-0,72	2,23	0
09/11/2020 00:40:00	2,14	2,50	2,25	1,91	1,62	1,20	0,78	0,39	0,05	-0,24	-0,45	-0,64	-0,84	2,13	0
09/11/2020 00:45:00	2,10	2,27	2,03	1,71	1,41	1,11	0,73	0,38	0,07	-0,18	-0,35	-0,51	-0,67	2,09	0
09/11/2020 00:50:00	1,98	2,23	1,99	1,54	1,18	0,88	0,67	0,39	0,06	-0,19	-0,34	-0,48	-0,61	2,03	0
09/11/2020 00:55:00	2,01	2,25	1,98	1,67	1,35	0,98	0,60	0,24	-0,09	-0,35	-0,54	-0,72	-0,89	1,99	0
09/11/2020 01:00:00	1,89	2,20	2,00	1,69	1,37	0,95	0,64	0,31	-0,03	-0,32	-0,53	-0,73	-0,93	1,90	0
09/11/2020 01:05:00	1,90	2,12	1,94	1,65	1,19	0,88	0,66	0,37	0,03	-0,24	-0,44	-0,63	-0,81	1,84	0
09/11/2020 01:10:00	1,82	2,16	1,95	1,63	1,30	0,97	0,61	0,26	-0,07	-0,33	-0,52	-0,69	-0,86	1,93	0
09/11/2020 01:15:00	1,83	2,08	1,84	1,58	1,22	0,93	0,58	0,24	-0,08	-0,33	-0,51	-0,67	-0,83	1,78	0
09/11/2020 01:20:00	1,81	2,08	1,79	1,49	1,14	0,85	0,50	0,16	-0,15	-0,40	-0,56	-0,70	-0,85	1,79	0
09/11/2020 01:25:00	1,71	1,90	1,69	1,31	1,02	0,70	0,43	0,13	-0,18	-0,43	-0,59	-0,74	-0,88	1,74	0
09/11/2020 01:30:00	1,69	1,89	1,70	1,41	1,05	0,73	0,44	0,13	-0,20	-0,46	-0,65	-0,83	-1,01	1,66	0
09/11/2020 01:35:00	1,65	1,81	1,56	1,30	0,96	0,68	0,40	0,10	-0,20	-0,44	-0,60	-0,75	-0,89	1,65	0
09/11/2020 01:40:00	1,50	1,78	1,63	1,33	1,02	0,64	0,25	-0,12	-0,46	-0,74	-0,95	-1,15	-1,35	1,48	0
09/11/2020 01:45:00	1,49	1,72	1,48	1,19	0,93	0,62	0,30	-0,02	-0,31	-0,55	-0,70	-0,84	-0,97	1,39	0
09/11/2020 01:50:00	1,51	1,72	1,46	1,23	0,95	0,65	0,20	-0,18	-0,48	-0,73	-0,89	-1,05	-1,21	1,44	0
09/11/2020 01:55:00	1,45	1,63	1,46	1,20	0,84	0,52	0,23	-0,09	-0,42	-0,69	-0,88	-1,06	-1,25	1,34	0
09/11/2020 02:00:00	1,34	1,62	1,43	1,08	0,70	0,41	0,07	-0,27	-0,60	-0,87	-1,04	-1,20	-1,36	1,28	0
09/11/2020 02:05:00	1,26	1,52	1,26	1,02	0,69	0,38	0,02	-0,32	-0,63	-0,87	-1,04	-1,18	-1,33	1,29	0
09/11/2020 02:10:00	1,24	1,50	1,26	0,94	0,67	0,36	0,04	-0,28	-0,59	-0,83	-0,98	-1,12	-1,25	1,25	0
09/11/2020 02:15:00	1,22	1,44	1,24	1,09	0,77	0,39	0,08	-0,24	-0,56	-0,83	-1,04	-1,23	-1,43	1,20	0
09/11/2020 02:20:00	1,24	1,38	1,17	0,89	0,69	0,32	-0,05	-0,39	-0,70	-0,95	-1,13	-1,29	-1,46	1,16	0
09/11/2020 02:25:00	1,18	1,34	1,15	0,86	0,52	0,23	-0,11	-0,44	-0,76	-1,02	-1,20	-1,36	-1,52	1,18	0
09/11/2020 02:30:00	1,14	1,23	1,04	0,74	0,46	0,18	-0,12	-0,43	-0,73	-0,97	-1,13	-1,28	-1,42	1,13	0
09/11/2020 02:35:00	1,08	1,17	0,98	0,66	0,37	0,16	-0,12	-0,41	-0,70	-0,92	-1,05	-1,17	-1,29	0,98	0
09/11/2020 02:40:00	1,01	1,20	1,01	0,78	0,49	0,18	-0,09	-0,38	-0,68	-0,93	-1,09	-1,25	-1,40	1,02	0
09/11/2020 02:45:00	1,00	1,21	1,00	0,81	0,66	0,41	0,12	-0,16	-0,42	-0,62	-0,74	-0,85	-0,96	1,04	0
09/11/2020 02:50:00	1,00	1,15	0,87	0,68	0,44	0,30	0,00	-0,27	-0,52	-0,70	-0,78	-0,85	-0,93	1,01	0
09/11/2020 02:55:00	0,95	1,16	0,99	0,81	0,68	0,35	0,00	-0,32	-0,60	-0,83	-0,98	-1,13	-1,29	0,98	0
09/11/2020 03:00:00	0,94	1,11	0,92	0,70	0,51	0,27	0,05	-0,20	-0,48	-0,68	-0,80	-0,91	-1,02	1,02	0
09/11/2020 03:05:00	0,91	1,13	0,94	0,82	0,51	0,21	-0,03	-0,31	-0,61	-0,85	-1,02	-1,18	-1,34	0,91	0
09/11/2020 03:10:00	0,84	1,08	0,87	0,67	0,49	0,17	-0,08	-0,36	-0,64	-0,87	-1,02	-1,15	-1,29	0,95	0
09/11/2020 03:15:00	0,78	1,03	0,80	0,57	0,32	0,07	-0,16	-0,43	-0,71	-0,92	-1,04	-1,15	-1,25	0,88	0
