FileFormat:0002.2 file with temperature of atmosphere
200
local	GMT or Local
0	GMT-Local=[hours]
0	Height[m]
0	0	0	Longitude                [grd]               [min]               [sec]
0	0	0	Latitude                [grd]               [min]               [sec]
N	NS
59,40	Freq[GHz]
0,00	dTemostat[K]
0,150	MessErr[K]
0,248	//[grad/step]
version 14.0.20110218
MTP5H033F5940K-33.00D180214+A1.1
Commentary:
enter comment
End Of Commentary

SYSTEM\summer.dat
data time	0	50	100	150	200	250	300	350	400	450	500	550	600	OutsideTemperature	Quality
24/10/2020 00:00:00	10,50	10,93	10,87	10,68	10,38	10,07	9,68	9,32	8,98	8,64	8,30	7,95	7,60	10,55	0
24/10/2020 00:05:00	10,58	10,87	10,71	10,46	10,14	9,82	9,53	9,23	8,91	8,62	8,33	8,04	7,74	10,55	0
24/10/2020 00:10:00	10,56	10,78	10,63	10,43	10,14	9,82	9,50	9,19	8,87	8,57	8,26	7,95	7,63	10,60	0
24/10/2020 00:15:00	10,43	10,86	10,80	10,56	10,24	9,91	9,54	9,19	8,84	8,51	8,18	7,84	7,50	10,52	0
24/10/2020 00:20:00	10,48	10,74	10,65	10,43	10,21	9,87	9,52	9,18	8,86	8,54	8,21	7,88	7,54	10,44	0
24/10/2020 00:25:00	10,41	10,74	10,68	10,52	10,30	10,01	9,65	9,31	8,99	8,67	8,35	8,01	7,67	10,35	0
24/10/2020 00:30:00	10,26	10,68	10,67	10,47	10,11	9,80	9,53	9,23	8,89	8,57	8,25	7,93	7,61	10,30	0
24/10/2020 00:35:00	10,32	10,73	10,68	10,58	10,39	10,13	9,74	9,39	9,08	8,76	8,44	8,09	7,75	10,33	0
24/10/2020 00:40:00	10,37	10,77	10,73	10,54	10,24	9,93	9,59	9,25	8,91	8,58	8,25	7,91	7,57	10,37	0
24/10/2020 00:45:00	10,38	10,68	10,59	10,38	10,09	9,78	9,51	9,21	8,89	8,59	8,30	8,00	7,69	10,35	0
24/10/2020 00:50:00	10,41	10,62	10,55	10,36	10,14	9,76	9,49	9,20	8,88	8,57	8,25	7,92	7,60	10,39	0
24/10/2020 00:55:00	10,49	10,64	10,50	10,30	10,04	9,70	9,44	9,15	8,84	8,55	8,25	7,95	7,64	10,40	0
24/10/2020 01:00:00	10,45	10,76	10,65	10,38	10,10	9,80	9,40	9,03	8,70	8,38	8,06	7,73	7,40	10,49	0
24/10/2020 01:05:00	10,57	10,80	10,66	10,43	10,15	9,80	9,42	9,07	8,74	8,41	8,08	7,74	7,40	10,62	0
24/10/2020 01:10:00	10,68	10,80	10,66	10,45	10,18	9,88	9,55	9,23	8,91	8,61	8,31	7,99	7,67	10,69	0
24/10/2020 01:15:00	10,70	10,89	10,80	10,62	10,37	10,04	9,68	9,34	9,01	8,68	8,34	7,99	7,63	10,69	0
24/10/2020 01:20:00	10,70	10,83	10,76	10,52	10,25	9,92	9,59	9,27	8,94	8,62	8,29	7,95	7,61	10,70	0
