FileFormat:0002.2 file with temperature of atmosphere
200
local	GMT or Local
0	GMT-Local=[hours]
0	Height[m]
0	0	0	Longitude                [grd]               [min]               [sec]
0	0	0	Latitude                [grd]               [min]               [sec]
N	NS
59,40	Freq[GHz]
0,00	dTemostat[K]
0,150	MessErr[K]
0,248	//[grad/step]
version 14.0.20110218
MTP5H033F5940K-33.00D180214+A1.1
Commentary:
enter comment
End Of Commentary

SYSTEM\summer.dat
data time	0	50	100	150	200	250	300	350	400	450	500	550	600	OutsideTemperature	Quality
09/05/2020 00:00:00	10,34	11,19	11,11	10,84	10,48	9,97	9,49	9,04	8,63	8,22	7,81	7,40	6,99	10,36	0
09/05/2020 00:05:00	10,30	11,05	11,00	10,75	10,38	9,93	9,46	9,02	8,62	8,23	7,83	7,43	7,02	10,23	0
09/05/2020 00:10:00	10,22	11,10	11,00	10,67	10,25	9,77	9,29	8,84	8,43	8,04	7,65	7,26	6,87	10,23	0
09/05/2020 00:15:00	10,35	11,01	10,87	10,55	10,17	9,75	9,28	8,84	8,46	8,09	7,72	7,35	6,98	10,26	0
09/05/2020 00:20:00	10,24	11,02	10,94	10,66	10,28	9,87	9,35	8,89	8,49	8,10	7,71	7,31	6,91	10,30	0
09/05/2020 00:25:00	10,23	11,06	10,99	10,64	10,23	9,74	9,23	8,77	8,35	7,95	7,55	7,14	6,74	10,26	0
09/05/2020 00:30:00	10,18	10,99	10,86	10,63	10,23	9,80	9,28	8,82	8,42	8,03	7,63	7,23	6,83	10,25	0
09/05/2020 00:35:00	10,27	10,92	10,83	10,54	10,11	9,65	9,16	8,71	8,30	7,90	7,49	7,08	6,66	10,17	0
09/05/2020 00:40:00	10,18	10,94	10,79	10,44	10,10	9,55	9,10	8,67	8,26	7,88	7,50	7,11	6,73	10,22	0
09/05/2020 00:45:00	10,21	10,93	10,89	10,62	10,20	9,73	9,25	8,81	8,40	7,99	7,58	7,16	6,74	10,21	0
09/05/2020 00:50:00	10,29	10,95	10,80	10,51	10,11	9,62	9,14	8,70	8,30	7,91	7,51	7,11	6,71	10,18	0
09/05/2020 00:55:00	10,05	10,91	10,78	10,47	10,10	9,57	9,10	8,66	8,25	7,86	7,47	7,08	6,69	10,20	0
09/05/2020 01:00:00	10,16	10,85	10,71	10,41	10,06	9,63	9,13	8,69	8,31	7,94	7,57	7,19	6,82	10,17	0
09/05/2020 01:05:00	10,06	10,93	10,85	10,53	10,15	9,61	9,16	8,73	8,32	7,92	7,52	7,13	6,73	10,08	0
09/05/2020 01:10:00	10,05	10,83	10,75	10,45	10,11	9,62	9,17	8,74	8,34	7,96	7,57	7,18	6,79	10,09	0
09/05/2020 01:15:00	10,02	10,85	10,76	10,43	10,02	9,53	9,03	8,58	8,16	7,76	7,37	6,97	6,58	10,05	0
09/05/2020 01:20:00	10,10	10,79	10,70	10,38	9,97	9,62	9,09	8,63	8,24	7,87	7,50	7,13	6,75	10,05	0
09/05/2020 01:25:00	10,11	10,84	10,71	10,40	10,03	9,51	9,01	8,56	8,15	7,75	7,35	6,95	6,54	10,07	0
09/05/2020 01:30:00	10,04	10,74	10,65	10,39	9,99	9,52	8,98	8,50	8,09	7,69	7,27	6,85	6,43	10,07	0
09/05/2020 01:35:00	10,11	10,77	10,70	10,36	9,98	9,52	9,04	8,59	8,19	7,80	7,40	7,01	6,62	10,03	0
09/05/2020 01:40:00	9,93	10,67	10,56	10,27	9,92	9,44	8,99	8,57	8,18	7,80	7,42	7,04	6,66	9,95	0
