FileFormat:0002.2 file with temperature of atmosphere
200
local	GMT or Local
0	GMT-Local=[hours]
0	Height[m]
0	0	0	Longitude                [grd]               [min]               [sec]
0	0	0	Latitude                [grd]               [min]               [sec]
N	NS
59,40	Freq[GHz]
0,00	dTemostat[K]
0,150	MessErr[K]
0,248	//[grad/step]
version 14.0.20110218
MTP5H033F5940K-33.00D180214+A1.1
Commentary:
enter comment
End Of Commentary

SYSTEM\summer.dat
data time	0	50	100	150	200	250	300	350	400	450	500	550	600	OutsideTemperature	Quality
23/04/2020 00:00:00	4,60	6,91	7,02	6,72	6,19	5,47	4,75	4,09	3,55	3,04	2,56	2,11	1,67	4,22	0
23/04/2020 00:05:00	4,38	6,53	6,72	6,39	5,76	5,07	4,35	3,69	3,12	2,59	2,08	1,60	1,13	4,23	0
23/04/2020 00:10:00	3,90	6,46	6,60	6,25	5,70	4,95	4,23	3,57	3,01	2,49	2,02	1,58	1,14	4,09	0
23/04/2020 00:15:00	4,10	6,37	6,47	6,17	5,73	5,02	4,34	3,72	3,19	2,71	2,27	1,85	1,43	4,06	0
23/04/2020 00:20:00	4,09	6,31	6,46	6,09	5,55	4,77	4,09	3,45	2,88	2,36	1,87	1,41	0,95	3,98	0
23/04/2020 00:25:00	4,23	6,27	6,38	6,06	5,57	4,81	4,11	3,47	2,92	2,41	1,93	1,47	1,01	4,02	0
23/04/2020 00:30:00	3,96	6,22	6,29	5,95	5,43	4,78	4,09	3,46	2,94	2,47	2,04	1,64	1,25	4,00	0
23/04/2020 00:35:00	3,81	6,35	6,52	6,16	5,54	4,79	4,03	3,34	2,76	2,23	1,73	1,26	0,80	3,95	0
23/04/2020 00:40:00	3,84	6,29	6,45	6,16	5,61	4,80	4,08	3,42	2,85	2,32	1,82	1,34	0,87	3,85	0
23/04/2020 00:45:00	4,14	6,12	6,21	5,80	5,27	4,62	3,99	3,40	2,87	2,40	1,97	1,57	1,17	3,88	0
23/04/2020 00:50:00	3,84	6,28	6,42	6,04	5,45	4,73	3,96	3,28	2,70	2,18	1,69	1,25	0,80	3,93	0
23/04/2020 00:55:00	3,65	6,27	6,39	6,01	5,40	4,66	3,90	3,21	2,64	2,12	1,64	1,20	0,76	3,93	0
23/04/2020 01:00:00	4,17	6,05	6,12	5,75	5,15	4,50	3,82	3,20	2,67	2,19	1,74	1,32	0,90	3,90	0
23/04/2020 01:05:00	4,22	6,08	6,18	5,87	5,30	4,58	3,81	3,14	2,58	2,06	1,56	1,08	0,60	3,95	0
23/04/2020 01:10:00	4,00	5,69	5,74	5,45	4,84	4,17	3,51	2,90	2,37	1,87	1,41	0,97	0,53	3,91	0
23/04/2020 01:15:00	3,90	5,75	5,78	5,37	4,84	4,17	3,46	2,83	2,31	1,83	1,40	1,00	0,60	3,86	0
